ID,COUNTY/REGION,JANUARY -JUNE 2021,JULY-DECEMBER 2021,JANUARY -JUNE 2022,JULY-DECEMBER 2022 ,JANUARY -JUNE 2023,JULY-DECEMBER 2023,JANUARY -JUNE 2024,JULY-DECEMBER 2024,JANUARY -JUNE 2025
1,BARINGO,,0.08,2.25,7.3,0.1,6.45,0,_,1.3
2,BOMET,1.4,6.6,1,2.964,1.01,301,279.8,_,2.01
3,BUNGOMA,2.4,8.35,575.6,10.625,510.56,16.16,33.4,168.7,20.35
4,BUSIA,696.46,171.54,110.42,109.388,390,1149.63,847.6,1002.7,244.29
5,E/MARAKWET,0.2,0.46,0.57,5.44,1.12,0.09,0.8,0.9,75.05
6,EMBU,254.165,25.99,34.53,40.71,145.2,104.35,12.1,1262,176.9
7,GARISSA,5,18,,4.55,_,17,2.2,55,_
8,HOMA BAY,4,6.35,3.75,126.8,0.65,35.45,10.7,418.6,160.3
9,ISIOLO,40.83,188.09,179.423,173.458,50.14,302.22,10.7,473.6,34.38
11,KAJIADO,4.5,6.5,3.502,3.34,15.52,1139.91,10.5,170.6,71.1
12,KAKAMEGA,,1.15,6.5,34.23,6.2,1.62,182,3.3,36.9
14,KERICHO,0.84,0.07,,50.6,17.2,533.25,10.3,76,543.32
15,KIAMBU,25.125,523.54,97.263,122.367,522.64,981.44,518.4,493.3,631.85
16,KILIFI,36.87,41.51,16.522,137.868,1028.05,1710.38,469.9,688,538.24
17,KIRINYANGA,71.4,33.19,5.251,30.015,303.63,6.09,11.2,6,12.49
18,KISII,602.105,17.62,7.835,25.42,13.56,1463.23,553.5,649.8,498.92
19,KISUMU,692.36,12.05,2.2,73.05,1143.81,2.02,99.1,678.2,416.3
20,KITUI,73.4,10.82,27.107,76.377,110.74,0.31,18.9,115.4,111.79
21,KWALE,48,1.05,0.8,12.5,2.35,0.51,159,710.2,839.51
22,LAIKIPIA,5,27,6.5,42.675,1.7,0,1590.9,13.7,6.9
23,LAMU,0.01,1.01,10,1.05,10.02,3.78,0.5,5.6,2.4
24,MACHAKOS,316.955,354.98,154.455,111.946,119.77,152.32,707.7,390.6,322.16
25,MAKUENI,360.045,44.23,572.16,5.34,633.87,134.99,14.7,236.5,14.64
26,MANDERA,20,0,0.83,0.055,21.7,0.25,0.5,_,_
27,MARSABIT,36.54,9.5,1,2411.9,0.5,1412.07,83,16,1088.2
28,MERU,304.53,159.09,8.366,49.455,110.47,1.73,36.5,49,123.28
29,MIGORI,741,170,219,981.2,1170,1786.9,2504,1357.4,1014.03
30,MOMBASA,50.508,61.26,4.52,44.21,11.78,7.94,960.3,2069.4,545.36
31,MURANGA,58.85,26.14,26.665,9.422,97.68,107.58,70,473.8,403.1
32,NAIROBI,1640.436,326.4,276.566,691.722,2040.99,1388.04,1921.3,1848.6,2067.14
33,NAKURU,56.902,371.45,375.993,863.708,1568.89,586.18,543.1,189.1,1592.01
34,NANDI,2.31,28.47,,14,6,0.65,28.7,24.6,47.38
35,NAROK,4,1175.95,342.05,260.785,196.59,31.78,133.6,276,277.91
36,NYAMIRA,1.905,12.2,248.87,50.45,12.05,7.45,3.8,16.4,13.1
37,NYANDARUA,13.752,430.8,3.21,26.884,15.99,23.11,254.8,24,12.52
38,NYERI,72.415,418.64,6.653,52.287,1204.83,6.34,3.2,16.9,21.85
39,RAILWAYS,0.3,0,,2.075,,,0.1,_,_
40,SAMBURU,55,6.2,20.5,8.5,0,0,200.6,_,5.1
41,SIAYA,111.575,3.04,8.5,90.25,2.34,37.13,126.3,157.1,179.2
44,TAITA TAVETA,0.887,6.47,6.21,1.616,15.87,112.61,742.8,451,1.01
45,TANA RIVER,,0.2,5.096,1.003,0.05,1.2,_,_,_
42,THARAKA NITHI,8.988,23.08,175.75,21.5,15.44,6.68,61.6,2.3,16.95
43,TRANS NZOIA,3.8,20.31,4.76,1.62,38.03,54.05,12.3,1.5,0.83
46,TURKANA,,0,0.15,_,250,0,122.5,_,10
47,UASIN GISHU,34.005,28.13,16.62,454.43,7.62,0.36,40.8,5.7,73.76
48,VIHIGA,3.25,1.45,6,4.31,2,10.4,13.3,130.2,105.75
49,WAJIR,469.145,1.92,32.5,0.33,26.13,62,3,1.8,13
50,WEST POKOT,,0,11,_,0,0,0.3,_,_
51,KAPU,0.92997,0.54,2.96,_,23.49,7.47,4.9,8.2,379.94
,TOTAL,6932.09297,4781.42,3621.407,7249.725,11866.28,13714.12,13415.2,14737.7,12752.52
