county,2021 H1,2021 H2,2022 H1,2022 H2,2023 H1,2023 H2,2024 H1,2024 H2,2025 H1,TOTAL
Nairobi,1640.436,326.4,276.566,691.722,2040.99,1388.04,1921.3,1848.6,2067.14,12201.194
Migori,741.0,170.0,219.0,981.2,1170.0,1786.9,2504.0,1357.4,1014.03,9943.53
Nakuru,56.902,371.45,375.993,863.708,1568.89,586.18,543.1,189.1,1592.01,6147.3330000000005
Marsabit,36.54,9.5,1.0,2411.9,0.5,1412.07,83.0,16.0,1088.2,5058.71
Busia,696.46,171.54,110.42,109.388,390.0,1149.63,847.6,1002.7,244.29,4722.028
Kilifi,36.87,41.51,16.522,137.868,1028.05,1710.38,469.9,688.0,538.24,4667.34
Kiambu,25.125,523.54,97.263,122.367,522.64,981.44,518.4,493.3,631.85,3915.925
Kisii,602.105,17.62,7.835,25.42,13.56,1463.23,553.5,649.8,498.92,3831.99
Mombasa,50.508,61.26,4.52,44.21,11.78,7.94,960.3,2069.4,545.36,3755.2780000000002
Kisumu,692.36,12.05,2.2,73.05,1143.81,2.02,99.1,678.2,416.3,3119.09
Narok,4.0,1175.95,342.05,260.785,196.59,31.78,133.6,276.0,277.91,2698.665
Machakos,316.955,354.98,154.455,111.946,119.77,152.32,707.7,390.6,322.16,2630.886
Embu,254.165,25.99,34.53,40.71,145.2,104.35,12.1,1262.0,176.9,2055.945
Makueni,360.045,44.23,572.16,5.34,633.87,134.99,14.7,236.5,14.64,2016.4750000000001
Nyeri,72.415,418.64,6.653,52.287,1204.83,6.34,3.2,16.9,21.85,1803.1149999999998
Kwale,48.0,1.05,0.8,12.5,2.35,0.51,159.0,710.2,839.51,1773.92
Laikipia,5.0,27.0,6.5,42.675,1.7,0.0,1590.9,13.7,6.9,1694.3750000000002
Isiolo,40.83,188.09,179.423,173.458,50.14,302.22,10.7,473.6,34.38,1452.8410000000003
Kajiado,4.5,6.5,3.502,3.34,15.52,1139.91,10.5,170.6,71.1,1425.472
Bungoma,2.4,8.35,575.6,10.625,510.56,16.16,33.4,168.7,20.35,1346.1450000000002
Taita Taveta,0.887,6.47,6.21,1.616,15.87,112.61,742.8,451.0,1.01,1338.473
Muranga,58.85,26.14,26.665,9.422,97.68,107.58,70.0,473.8,403.1,1273.237
Kericho,0.84,0.07,25.335,50.6,17.2,533.25,10.3,76.0,543.32,1256.915
Meru,304.53,159.09,8.366,49.455,110.47,1.73,36.5,49.0,123.28,842.421
Nyandarua,13.752,430.8,3.21,26.884,15.99,23.11,254.8,24.0,12.52,805.066
Homa Bay,4.0,6.35,3.75,126.8,0.65,35.45,10.7,418.6,160.3,766.5999999999999
Bomet,1.4,6.6,1.0,2.964,1.01,301.0,279.8,140.905,2.01,736.689
Siaya,111.575,3.04,8.5,90.25,2.34,37.13,126.3,157.1,179.2,715.435
Uasin Gishu,34.005,28.13,16.62,454.43,7.62,0.36,40.8,5.7,73.76,661.4250000000001
Wajir,469.145,1.92,32.5,0.33,26.13,62.0,3.0,1.8,13.0,609.8249999999999
Turkana,0.0,0.0,0.15,125.075,250.0,0.0,122.5,66.25,10.0,573.975
Kitui,73.4,10.82,27.107,76.377,110.74,0.31,18.9,115.4,111.79,544.8439999999999
Kirinyanga,71.4,33.19,5.251,30.015,303.63,6.09,11.2,6.0,12.49,479.26599999999996
Kapu (CPIU),0.92997,0.54,2.96,13.224999999999998,23.49,7.47,4.9,8.2,379.94,441.65497
Samburu,55.0,6.2,20.5,8.5,0.0,0.0,200.6,102.85,5.1,398.75
Nyamira,1.905,12.2,248.87,50.45,12.05,7.45,3.8,16.4,13.1,366.225
Tharaka Nithi,8.988,23.08,175.75,21.5,15.44,6.68,61.6,2.3,16.95,332.288
Vihiga,3.25,1.45,6.0,4.31,2.0,10.4,13.3,130.2,105.75,276.65999999999997
Kakamega,1.15,1.15,6.5,34.23,6.2,1.62,182.0,3.3,36.9,273.05
Garissa,5.0,18.0,11.275,4.55,10.774999999999999,17.0,2.2,55.0,55.0,178.8
Nandi,2.31,28.47,21.235,14.0,6.0,0.65,28.7,24.6,47.38,173.345
Trans Nzoia,3.8,20.31,4.76,1.62,38.03,54.05,12.3,1.5,0.83,137.20000000000002
Elgeyo Marakwet,0.2,0.46,0.57,5.44,1.12,0.09,0.8,0.9,75.05,84.63
Mandera,20.0,0.0,0.83,0.055,21.7,0.25,0.5,0.5,0.5,44.334999999999994
Lamu,0.01,1.01,10.0,1.05,10.02,3.78,0.5,5.6,2.4,34.37
Baringo,0.08,0.08,2.25,7.3,0.1,6.45,0.0,0.65,1.3,18.21
West Pokot,0.0,0.0,11.0,5.5,0.0,0.0,0.3,0.3,0.3,17.400000000000002
Tana River,0.2,0.2,5.096,1.003,0.05,1.2,1.2,1.2,1.2,11.348999999999998
Railways (CPIU),0.3,0.0,1.0375,2.075,1.416666666666667,0.7583333333333335,0.1,0.1,0.1,5.8875
